1,신영상사㈜,한석규,영업 사원,051-575-5776,051-575-5876,가장동 78-3,상주시,경상북도,742-170
2,원창㈜,황영순,대표 이사,02-681-6889,02-681-6869,서초구 방배동 883-11,서울특별시,,137-060
3,동광통상㈜,조자룡,대표 이사,02-989-9889,02-989-9489,강서구 내발산동 318,서울특별시,,157-280
4,경성트레이딩㈜,구재석,영업 사원,031-76-4568,031-76-4768,남구 연수동 208-16,인천광역시,,402-110
5,정금상사㈜,최영희,영업 과장,041-92-3778,041-92-3878,서구 도마동 110-6,대전광역시,,302-160
6,협우상사㈜,손미선,영업 사원,02-211-1234,02-211-1834,서대문구 남가좌 1동 121,서울특별시,,120-121
7,베네디스유통㈜,장선희,마케팅2 과장,02-111-2954,02-111-2054,영등포구 당산동 3가 16,서울특별시,,150-043
8,삼화상사㈜,정영일,대표 이사,051-411-1945,051-411-1925,부산진구 당감 3동 611-3,부산광역시,,614-103
9,서주무역㈜,문익한,대표 이사,02-497-4896,02-497-4596,용산구 갈월동 116-7,서울특별시,,140-150
10,태강교역㈜,문흥미,경리 과장,051-415-9483,051-415-9473,사하구 신평동 701-29,부산광역시,,604-030
11,월드링크㈜,이강주,영업 사원,051-342-3333,051-342-3303,구산동 17-111,김해시,경상남도,621-060
12,혜성백화점㈜,박광준,영업 사원,02-413-4486,02-413-4481,강남구 대치동 315-11,서울특별시,,135-280
13,진주백화점㈜,홍성주,마케팅 1과장,031-414-3687,031-414-3467,남동구 간석 3동 270-8,인천광역시,,405-233
14,동남상사㈜,강태준,대표 이사,02-134-5897,02-134-5807,강남구 청담동 115,서울특별시,,135-100
15,대진상사㈜,천용만,영업 사원,02-878-9174,02-878-9274,노원구 공릉동 178,서울특별시,,139-240
16,ITM㈜,남궁익선,영업 사원,031-489-9184,031-489-9164,소하동 11-3,광명시,경기도,423-050
17,극동무역㈜,강민수,영업 과장,02-978-1984,02-978-1914,송파구 잠실동 220,서울특별시,,138-220
18,양정물산㈜,주진국,대표 이사,02-444-2971,02-444-2271,강동구 성내동 143,서울특별시,,134-030
19,성신교역㈜,성병재,영업 사원,041-487-4971,041-487-4971,무릉동 171-3,공주시,충청남도,314-130
20,신세계통상㈜,강세라,영업 과장,031-211-9284,031-211-9584,중구 도원동 507-16,인천광역시,,400-140
21,삼일㈜,손미순,마케팅 담당,02-866-6667,02-846-6667,마포구 공덕 1동 81,서울특별시,,121-021
22,세주상사㈜,유영주,경리 과장,041-313-3433,041-317-3433,동구 마산동 250-1,대전광역시,,300-340
23,한일상사㈜,강판석,영업 사원,02-211-3421,02-211-3421,양천구 신월 3동 67-18,서울특별시,,158-093
24,유미백화점㈜,최재경,대표 이사,031-768-7688,031-768-7678,중앙동 427-10,과천시,경기도,427-010
25,진흥㈜,성현아,마케팅 2과장,02-123-0345,02-127-0345,성북구 길음동 136-11,서울특별시,,136-110
26,미림백화점㈜,이혜준,마케팅 과장,031-56-2091,031-56-2091,수택동 435,구리시,경기도,471-030
27,한미교역㈜,정영순,영업 사원,02-211-2221,02-211-2225,동작구 대방동 36-8,서울특별시,,156-020
28,오성통상㈜,오민수,영업 1과장,031-421-9238,031-421-5238,갈현동 232-8,과천시,경기도,427-100
29,광성교역㈜,김혜린,마케팅 1과장,02-892-4921,02-892-7921,도봉구 방학 3동 18,서울특별시,,132-023
